section,claim,source_field,generating_script,value,appears_in_paper,deterministic,notes
VII,M5 flag precision 0.900,M5.flag_precision,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9133065462409707,true,true,paper prints 0.9; read from results.json
VII,M5 flag recall 0.868,M5.flag_recall,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8731379549989983,true,true,paper prints 0.84; MISMATCH: re-derived value does not round to the printed one; read from results.json
VII,M5 balanced acc 0.906,M5.flag_balanced_acc,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9113167765842313,true,true,paper prints 0.898; MISMATCH: re-derived value does not round to the printed one; read from results.json
VII,M3 balanced acc 0.853,M3.flag_balanced_acc,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.8545396470565436,true,true,paper prints 0.855; read from results.json
VII,M4 balanced acc 0.736,M4.flag_balanced_acc,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.7311399833905676,true,true,paper prints 0.731; read from results.json
VII,oracle rate 0.351,M5.oracle_infeasible_rate,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.348125,true,true,paper prints 0.348; read from results.json
VII,M2 recall 1.000,M2.flag_recall,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9990867389491243,true,true,paper prints 1.0; read from results.json
VII,M2 specificity 0.116,M2.flag_specificity,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.11868828155492472,true,true,paper prints 0.119; read from results.json
VII,risk when flagged 0.02206,M5.risk_when_flagged,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.022229649418106436,true,true,paper prints 0.02267; MISMATCH: re-derived value does not round to the printed one; read from results.json
VII,risk unflagged 0.009356,M5.risk_when_not_flagged,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.009323769754863678,true,true,paper prints 0.009543; MISMATCH: re-derived value does not round to the printed one; read from results.json
VII,A2 violation 0.600,M5.mono_violation_mean,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.6065541549429933,true,true,paper prints 0.6; read from results.json
VII,oracle agreement 1.000,M5.oracle_agreement,src/t13/experiment.py (make reproduce-full) -> results/results.json,1.0,true,true,paper prints 1.0; read from results.json
VII,exh balanced acc 0.906,M5.exh_flag_balanced_acc,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.9113167765842313,true,true,paper prints 0.898; MISMATCH: re-derived value does not round to the printed one; read from results.json
IV-B,estimand rel gap 0.07896,M5.gap_overlap_rel,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.08161299122041352,true,true,paper prints 0.07792; MISMATCH: re-derived value does not round to the printed one; read from results.json
IV-B,trimmed rows 0.1508,M5.trim_share_mean,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.15326589799416596,true,true,paper prints 0.1509; MISMATCH: re-derived value does not round to the printed one; read from results.json
IV-B,trimmed fraud 0.1838,M5.trim_fraud_share_mean,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.1876243288797488,true,true,paper prints 0.1829; MISMATCH: re-derived value does not round to the printed one; read from results.json
VII,p_d MAE 0.1579,M5.pd_mae_mean,src/t13/experiment.py (make reproduce-full) -> results/results.json,0.15788438650274972,true,true,paper prints 0.1566; MISMATCH: re-derived value does not round to the printed one; read from results.json
